id,Data,Pais,Estado,Setor_Industrial,Nivel_Acidente,Nivel_Acidente_Potencial,Genero,Tipo_Trabalhador,Risco_Critico,Descricao
0,2016-01-01 00:00:00,Brasil,São Paulo,Mineração,I - Muito Baixo,IV - Alto,Homem,Terceiro,Prensado,"Ao retirar a haste de perfuração do Jumbo 08 para manutenção, o supervisor procede afrouxando o suporte do centralizador intermediário para facilitar a remoção, vendo isso o mecânico apoia uma das extremidades na broca do equipamento para puxar com as duas mãos a barra e acelerar a retirada desta, neste momento a barra desliza do seu ponto de apoio e aperta os dedos do mecânico entre a barra de perfuração e a viga do jumbo."
1,2016-01-02 00:00:00,EUA,Texas,Mineração,I - Muito Baixo,IV - Alto,Homem,Funcionário,Sistemas pressurizados,"Durante o acionamento de uma bomba de sulfeto de sódio, a tubulação foi desacoplada e a solução de sulfeto foi projetada na área para chegar até a empregada. Imediatamente utilizou o chuveiro de emergência e foi encaminhada ao médico do ambulatório e posteriormente ao hospital. Nota: de solução de sulfureto = 48 gramas/litro."
2,2016-01-06 00:00:00,Brasil,Minas Gerais,Mineração,I - Muito Baixo,III - Médio,Homem,Terceiro (Remoto),Ferramentas manuais,"Na subestação MILPO localizada no nível +170 quando o colaborador realizava os trabalhos de escavação com uma picareta (ferramenta manual), atingindo uma pedra com a parte plana do bico, esta ricocheteia atingindo a ponta de aço da sapata de segurança e depois a região metatarsal do pé esquerdo do colaborador causando a lesão."
3,2016-01-08 00:00:00,Brasil,Rio de Janeiro,Mineração,I - Muito Baixo,I - Muito Baixo,Homem,Terceiro,Outros,"Sendo 9h45. aproximadamente no Nv. 1880 CX-695 OB7, o pessoal inicia a tarefa de destravar os parafusos Soquet da máquina BHB, quando estavam no penúltimo ferrolho identificaram que a cabeça hexagonal estava desgastada, procedendo o Sr. Cristóbal - Auxiliar auxiliar a subir até a plataforma para exercer pressão com a mão na chave ""DADO"", para evitar que ela saia do ferrolho; nesses momentos dois colaboradores giram com a alavanca no sentido anti-horário, saindo da chave do ferrolho, atingindo a palma da mão esquerda, causando a lesão."
4,2016-01-10 00:00:00,Brasil,Rio de Janeiro,Mineração,IV - Alto,IV - Alto,Homem,Terceiro,Outros,"Aproximadamente às 11h45, em circunstâncias em que os mecânicos Anthony (líder do grupo), Eduardo e Eric Fernández - feridos - os três da Empresa IMPROMEC, realizaram a retirada da polia do motor da bomba 3015 na ZAF de Marcy. 27 cm / Comprimento: 33 cm / Peso: 70 kg), como estava travada proceda ao aquecimento da polia para soltá-la, ela sai e cai de uma distância de 1,06 metros de altura e atinge o peito do pé direito do trabalhador, causando a lesão descrita."
5,2016-01-12 00:00:00,EUA,California,Metalurgia,I - Muito Baixo,III - Médio,Homem,Terceiro (Remoto),Sistemas pressurizados,"Durante a operação de descarga do Saco ustulado houve necessidade de desobstruir a boca de descarga do caminhão silo. Na realização deste procedimento houve uma manobra de desenganchar a mangueira sem a despressurização total da boca, projetar pó de ustulado no colaborador causou irritação nos olhos."
6,2016-01-16 00:00:00,EUA,California,Metalurgia,I - Muito Baixo,III - Médio,Homem,Funcionário,Prevenção de queda (mesmo nível),"O colaborador relata que estava na rua 09 segurando na mão esquerda o balão volumétrico, quando escorregou e ao colocar a mão no chão o balão volumétrico acabou rompendo causou um pequeno ferimento na mão esquerda."
7,2016-01-17 00:00:00,Brasil,Rio de Janeiro,Mineração,I - Muito Baixo,III - Médio,Homem,Terceiro,Prensado,"Aproximadamente às 16h50, quando o técnico mecânico José da Tecnomin verificou as correias de transmissão da bomba HM-100 na fábrica de Ácidos, procedeu ao giro manual da polia; inesperadamente naquele instante o eletricista supervisor Miguel da EKA Mining agarra as correias de transmissão para verificar sua tensão, momento em que os dedos ficam presos."
8,2016-01-19 00:00:00,EUA,Texas,Mineração,I - Muito Baixo,IV - Alto,Homem,Terceiro (Remoto),Outros,"O funcionário estava sentado na área de descanso no nível 326 (raise bore), quando sofreu mal súbito, queda e escoriação no rosto."
9,2016-01-26 00:00:00,Brasil,Bahia,Metalurgia,I - Muito Baixo,II - Baixo,Homem,Terceiro,Substâncias químicas,"No momento o operador da empilhadeira foi manipular big bag de bióxido no trecho 70 e logo em frente à escada que dá acesso à área de deslocamento manual, espirrou gasto na altura da testa de uma fissura no tubo G-069, derramando posteriormente para o olho esquerdo. O colaborador dirigiu-se ao lava-olhos próximo para limpeza e imediatamente ao posto médico."
10,2016-01-28 00:00:00,Brasil,Minas Gerais,Mineração,I - Muito Baixo,III - Médio,Homem,Funcionário,Outros,"Ao instalar um segmento do liner protetor da polia de poliuretano - 60x4x5cm e peso 1,2 kg - na polia cabeçote do guincho de minério, quando a polia é girada para comprimir o liner no interior do canal, ele cai do seu alojamento 1,50 m roçando o lado direito do quadril do trabalhador, gerando a lesão descrita."
